filename,title,document_type,author,year,theme,ria_dimension,source_url,source_type
ai_device_software_guidance_FDA_2025.pdf,Artificial Intelligence-Enabled Device Software Functions: Lifecycle Management and Marketing Submission Recommendations,Institucional,U.S. Food & Drug Administration (FDA),2025,Recomendações sobre submissões de marketing para dispositivos que incluem funções habilitadas por IA,Privacidade e Segurança; Transparência; Governança,https://www.fda.gov/media/184856/download,PDF
ai_framework_convention_council_europe_2024.pdf,"Council of Europe Framework Convention on Artificial Intelligence and Human Rights, Democracy and the Rule of Law",Legislação,Conselho da Europa,2024,"Convenção sobre inteligência artificial, direitos humanos, democracia e Estado de Direito",Todas,https://rm.coe.int/1680afae3c,PDF
ai_ml_discussion_paper_FDA_2021.pdf,Proposed Regulatory Framework for Modifications to Artificial Intelligence/Machine Learning (AI/ML)-Based Software as a Medical Device (SaMD) - Discussion Paper and Request for Feedback,Institucional,U.S. Food & Drug Administration (FDA),2019,Proposta de estrutura regulatória para modificações de software como dispositivo médico baseado em IA/ML,Governança; Responsabilização,https://www.fda.gov/media/122535/download,PDF
ai_risk_management_framework_NIST_2023.pdf,Artificial Intelligence Risk Management Framework (AI RMF 1.0),Institucional,National Institute of Standards and Technology (NIST) - U.S. Department of Commerce,2023,Gerenciamento de riscos de inteligência artificial,Todas,https://nvlpubs.nist.gov/nistpubs/ai/NIST.AI.100-1.pdf,PDF
aiml_samd_action_plan_FDA_2021.pdf,Artificial Intelligence/Machine Learning (AI/ML)-Based Software as a Medical Device (SaMD) Action Plan,Institucional,U.S. Food & Drug Administration (FDA),2021,Plano de ação para software como dispositivo médico baseado em IA/ML,Governança; Responsabilização; Transparência,https://www.fda.gov/media/145022/download,PDF
codigo_etica_medica_CFM_2019.pdf,"Resolução CFM nº 2.217, de 27 de setembro de 2018",Legislação,Conselho Federal de Medicina (CFM),2018,Código de Ética Médica,Governança; Responsabilização,https://portal.cfm.org.br/images/PDF/cem2019.pdf,PDF
de_identifying_government_datasets_NIST_2023.pdf,De-Identifying Government Datasets: Techniques and Governance,Institucional,National Institute of Standards and Technology (NIST) - U.S. Department of Commerce,2023,De-identificação de conjuntos de dados pessoais,Privacidade e Segurança,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-188.pdf,PDF
estrategia_brasileira_ia_MCTI_2021.pdf,Estratégia Brasileira de Inteligência Artificial - EBIA,Institucional,"Ministério da Ciência, Tecnologia e Inovações (MCTI) - Governo Federal do Brasil",2021,Estratégia para desenvolvimento e utilização da IA,Todas,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/transformacaodigital/ebia.pdf,PDF
ethical_impact_assessment_UNESCO_2023.pdf,Ethical impact assessment: a tool of the Recommendation on the Ethics of Artificial Intelligence,Institucional,"Organização das Nações Unidas para a Educação, Ciência e Cultura (UNESCO)",2023,Avaliação de benefícios e riscos de sistemas de IA,Todas,https://unesdoc.unesco.org/ark:/48223/pf0000386276,PDF
ethics_governance_ai_health_WHO_2021.pdf,Ethics and governance of artificial intelligence for health: WHO guidance,Institucional,World Health Organization (WHO),2021,Ética e governança de IA aplicada à saúde,Todas,https://iris.who.int/bitstream/handle/10665/341996/9789240029200-eng.pdf,PDF
